DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Ldr Pos,Score,Top 20,Top 10,Top 5,Win%,Make Cut %,Tee Time,Eagles,Birdies,Bogeys,Pars,Dbl Bogeys,Birdie Streaks,Bogey Free Rounds
43697426,Doug Ghim,G,Golf,GOLF,,7400,0,65.54,,65.54,8.856756756756758,7.4,7.951126574231172,0,100,,,65.5434,33.5,71.5,89.5,98.5,114.5,134,69.0366,34.1,73.7,97.1,107.32,124.81,146.9,61.2398,29.9,65.9,86.5,96.1,111,130.6,,,,,,,,31.19,35.42,31.94,,,,0.2333,0.1171,0.0574,1%,0.598,2026-07-30T08:28:00,0.4794,14.4285,7.0188,34.7075,0.771,0.5139,0.2198
43697429,Rasmus Neergaard-Petersen,G,Golf,GOLF,,7400,0,65.22,,65.22,8.813513513513513,7.03,7.511544566814154,0,100,,,65.2234,33,72,89,97.5,115,135.5,68.7103,33.9,74,96.5,106.32,125.8,146.9,60.933,29.4,66.35,85.62,95.1,112.1,130.2,,,,,,,,31.26,35.52,31.94,,,,0.2248,0.1144,0.0599,1%,0.5932,2026-07-30T14:11:00,0.4837,14.3269,6.9596,34.6852,0.777,0.5037,0.2205
43697454,Sungjae Im,G,Golf,GOLF,,7000,0,64.94,,64.94,9.277142857142858,11.39,13.013408881698986,0,100,,,64.941,33,71,89,98,115,135.51,68.3485,33.5,72.8,96.1,107.1,126.41,146.6,60.6068,29.3,65.3,85.8,95.6,111.8,131,,,,,,,,31.39,35.7,32.18,,,,0.2304,0.1178,0.0609,0.8%,0.5898,2026-07-30T12:43:00,0.4808,14.2506,7.0016,34.6081,0.7732,0.5046,0.2236
43697415,Michael Brennan,G,Golf,GOLF,,7900,0,64.91,,64.91,8.21645569620253,4.35,4.355667588417416,0,100,,,64.9055,32.5,70.5,89.5,99,116,135,68.2916,33.2,72,97,108.5,126.9,146.7,60.5936,29.3,64.3,86.6,97.4,112.6,131.1,,,,,,,,31.89,36.26,32.69,,,,0.2464,0.1306,0.0642,0.9%,0.583,2026-07-30T13:16:00,0.4902,14.1978,6.9955,34.4216,0.764,0.498,0.2225
43697430,Matt Wallace,G,Golf,GOLF,,7400,0,64.7,,64.7,8.743243243243244,5.1,5.2212332021949495,0,100,,,64.6983,33,71.5,88,96.5,113.02,137.01,68.0537,33.8,72.9,95.2,105,124.31,149.8,60.2886,29.9,65.1,84.6,93.9,110,131.8,,,,,,,,30.94,35,31.44,,,,0.2047,0.1013,0.0538,1.1%,0.5874,2026-07-30T12:32:00,0.478,14.273,6.9896,34.495,0.7836,0.5081,0.2042
43697421,Eric Cole,G,Golf,GOLF,,7600,0,64.56,,64.56,8.494736842105263,4.5,4.5207668906996945,0,100,,,64.5606,32.88,70.5,88.5,97.5,115,137,67.9233,33.2,72.2,95.9,106.6,126.6,149.7,60.2142,29.3,64.6,85.3,95.2,112,132.2,,,,,,,,31.63,35.91,32.37,,,,0.2198,0.1173,0.0601,1%,0.5788,2026-07-30T07:00:00,0.4744,14.1784,6.9064,34.3698,0.7782,0.5033,0.2236
43697420,Jordan Spieth,G,Golf,GOLF,,7700,0,64.44,,64.44,8.368831168831168,3.74,3.67066696128936,0,100,,,64.4374,33,71,88,96,112.5,133.5,67.6903,33.6,72.4,95.3,104.9,123.2,144.8,60.0204,29.4,64.7,84.7,93.9,109.6,127.9,,,,,,,,30.72,34.86,31.45,,,,0.2051,0.1029,0.05,0.7%,0.5901,2026-07-30T13:05:00,0.4929,14.159,7.0201,34.6539,0.7916,0.4986,0.2127
43697424,Denny McCarthy,G,Golf,GOLF,,7500,0,63.96,,63.96,8.528,3.2,3.0779084527025193,0,100,,,63.9635,33,71,87.5,95.5,111.5,132.01,67.2139,33.6,72.2,94.43,104.1,122.5,142.8,59.564,29.4,64.7,84.1,92.8,108.6,127.2,,,,,,,,30.38,34.5,31.11,,,,0.1962,0.095,0.0468,0.7%,0.5848,2026-07-30T12:10:00,0.4758,14.1268,7.0247,34.5052,0.7903,0.4948,0.208
43697439,Michael Kim,G,Golf,GOLF,,7200,0,63.86,,63.86,8.869444444444444,5.41,5.574661512218276,0,100,,,63.8619,32.5,70,88,96.5,114,134,67.1305,33,70.9,95.2,105.7,125.1,145.1,59.4951,28.9,63.7,84.6,94.2,110.9,128.4,,,,,,,,31.19,35.42,31.82,,,,0.2075,0.1065,0.0546,0.8%,0.5752,2026-07-30T07:11:00,0.4708,14.0653,6.9876,34.2848,0.7782,0.4867,0.2141
43697436,Benjamin James,G,Golf,GOLF,,7300,0,63.78,,63.78,8.736986301369864,4.38,4.395293752663313,0,100,,,63.7818,32.5,69.5,88,96.5,114.5,134.5,67.1144,33.2,70.6,95.1,105.6,125.5,147.2,59.3816,29.18,62.95,84.6,94.01,111,129.3,,,,,,,,31.28,35.51,31.97,,,,0.2127,0.1063,0.0554,0.8%,0.5691,2026-07-30T09:01:00,0.467,14.0688,6.9501,34.0846,0.7833,0.4921,0.2171
