Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Patrick Fishburn (43746569),Patrick Fishburn,43746569,G,6700,Wyndham Championship,Golf,56.8,
G,John Parry (43746570),John Parry,43746570,G,6700,Wyndham Championship,Golf,63,
G,Davis Riley (43746571),Davis Riley,43746571,G,6700,Wyndham Championship,Golf,50.5,
G,Hao-Tong Li (43746572),Hao-Tong Li,43746572,G,6700,Wyndham Championship,Golf,49.8,
G,Zecheng Dou (43746573),Zecheng Dou,43746573,G,6700,Wyndham Championship,Golf,56,
G,Neal Shipley (43746574),Neal Shipley,43746574,G,6700,Wyndham Championship,Golf,44,
G,Chandler Blanchet (43746575),Chandler Blanchet,43746575,G,6700,Wyndham Championship,Golf,49.6,
G,Tom Hoge (43746576),Tom Hoge,43746576,G,6700,Wyndham Championship,Golf,58.7,
G,Mark Hubbard (43746577),Mark Hubbard,43746577,G,6600,Wyndham Championship,Golf,54.8,
G,Webb Simpson (43746578),Webb Simpson,43746578,G,6600,Wyndham Championship,Golf,39.5,
G,Austin Smotherman (43746579),Austin Smotherman,43746579,G,6600,Wyndham Championship,Golf,54.8,
G,Chandler Phillips (43746580),Chandler Phillips,43746580,G,6600,Wyndham Championship,Golf,56.2,
G,Karl Vilips (43746581),Karl Vilips,43746581,G,6600,Wyndham Championship,Golf,51.3,
G,A.J. Ewart (43746582),A.J. Ewart,43746582,G,6600,Wyndham Championship,Golf,63.5,
G,Matt Kuchar (43746583),Matt Kuchar,43746583,G,6500,Wyndham Championship,Golf,50.8,
G,Aaron Wise (43746584),Aaron Wise,43746584,G,6500,Wyndham Championship,Golf,47.1,
G,Joel Dahmen (43746585),Joel Dahmen,43746585,G,6500,Wyndham Championship,Golf,54.3,
G,Takumi Kanaya (43746586),Takumi Kanaya,43746586,G,6500,Wyndham Championship,Golf,50.9,
G,Brandt Snedeker (43746587),Brandt Snedeker,43746587,G,6500,Wyndham Championship,Golf,56.7,
G,Garrick Higgo (43746588),Garrick Higgo,43746588,G,6500,Wyndham Championship,Golf,42.9,OUT
G,David Lipsky (43746589),David Lipsky,43746589,G,6500,Wyndham Championship,Golf,58,
G,Kihei Akina (43746590),Kihei Akina,43746590,G,6500,Wyndham Championship,Golf,55,
G,Chad Ramey (43746591),Chad Ramey,43746591,G,6400,Wyndham Championship,Golf,56.1,
G,Matthieu Pavon (43746592),Matthieu Pavon,43746592,G,6400,Wyndham Championship,Golf,51.8,
G,Patrick Rodgers (43746593),Patrick Rodgers,43746593,G,6400,Wyndham Championship,Golf,59.8,
G,Adrien Saddier (43746594),Adrien Saddier,43746594,G,6400,Wyndham Championship,Golf,47.4,
G,Vince Whaley (43746595),Vince Whaley,43746595,G,6400,Wyndham Championship,Golf,44.9,
G,Lanto Griffin (43746596),Lanto Griffin,43746596,G,6400,Wyndham Championship,Golf,54.3,
G,Justin Lower (43746597),Justin Lower,43746597,G,6400,Wyndham Championship,Golf,48.1,
G,Adam Svensson (43746598),Adam Svensson,43746598,G,6400,Wyndham Championship,Golf,49.8,
G,Trace Crowe (43746599),Trace Crowe,43746599,G,6300,Wyndham Championship,Golf,59.2,
G,C.T. Pan (43746600),C.T. Pan,43746600,G,6300,Wyndham Championship,Golf,22,
G,Davis Chatfield (43746601),Davis Chatfield,43746601,G,6300,Wyndham Championship,Golf,48.1,
G,Erik Van Rooyen (43746602),Erik Van Rooyen,43746602,G,6300,Wyndham Championship,Golf,48.3,
G,Nick Dunlap (43746603),Nick Dunlap,43746603,G,6300,Wyndham Championship,Golf,43.3,
G,Hank Lebioda (43746604),Hank Lebioda,43746604,G,6300,Wyndham Championship,Golf,50.7,
G,Pontus Nyholm (43746605),Pontus Nyholm,43746605,G,6300,Wyndham Championship,Golf,51.8,
G,Ben Silverman (43755543),Ben Silverman,43755543,G,6300,Wyndham Championship,Golf,50.3,
G,Dylan Wu (43746606),Dylan Wu,43746606,G,6200,Wyndham Championship,Golf,49.8,
G,John VanDerLaan (43746607),John VanDerLaan,43746607,G,6200,Wyndham Championship,Golf,48.4,
G,Joe Highsmith (43746608),Joe Highsmith,43746608,G,6200,Wyndham Championship,Golf,50.5,
G,Gordon Sargent (43746609),Gordon Sargent,43746609,G,6200,Wyndham Championship,Golf,48.3,
G,Brian Campbell (43746610),Brian Campbell,43746610,G,6200,Wyndham Championship,Golf,39.3,
G,Kevin Streelman (43746611),Kevin Streelman,43746611,G,6200,Wyndham Championship,Golf,53.8,
